"ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEP126",46.7282560925853,0.283002582802606,0.265305181710258,1.0667058252623,0.286104695818183,0.614223890978555
"EIF4G2",1724.0890030236,-0.189216935868071,0.0819214420078651,-2.30973639172397,0.0209027527484771,0.204139854875592
"GALNT18",84.9842854935224,-0.255713525473185,0.377362285126826,-0.677634028496629,0.498003764866671,0.775790094852721
"BIRC2",202.177595839556,0.307617935381425,0.22471415882375,1.36892991964382,0.171021182182048,0.501443789734315
"UBE4A",267.171316006714,0.180745973406567,0.151399686114775,1.19383321091924,0.232543217674545,0.568102458450944
"DDX6",381.647057154669,0.00957754374829075,0.114436422182076,0.0836931421453588,0.933300409791441,0.978665979041321
"UPK2",9.43528900495844,-0.742225154912808,0.816252707360725,-0.909308046662072,0.363187544311254,0.679853321155708
"CBL",187.553823870927,0.335644798735945,0.167436281598844,2.0046121159099,0.045004530362155,0.284908863753102
"NECTIN1",1566.40090252393,-0.00136080255178772,0.357931627021275,-0.00380185054646438,0.996966569454066,0.999009384232311
"HIPK3",165.698172092476,0.130993768040823,0.205233146802039,0.638268087207061,0.523299182060415,0.791422100723798
"KIAA1549L",71.7174382104421,-0.0989118252873552,0.563431837196379,-0.175552424902962,0.860645581185747,0.952940594348128
"FBXO3",109.89114499309,-0.383030884340005,0.137708224812176,-2.78146701013996,0.00541138302339413,0.106157690170968
"PDHX",69.9338357122166,0.0698540135219968,0.234471852898341,0.297920678574085,0.765763704982016,0.919154361855572
"COMMD9",74.3646818863139,-0.326245494951606,0.174826704913932,-1.86610789874589,0.0620262711047142,0.323306330505083
"SLC15A3",18.5513769008578,0.747954011783816,0.44659164009849,1.67480522389283,0.0939724536131392,0.384978521614554
"ACCS",104.408038476793,0.807944559473676,0.375598526126091,2.1510855428715,0.0314694483923628,0.242202263529719
"MDK",853.392555119643,-0.0887111540818282,0.298487645660674,-0.297202096540627,0.766312221344327,0.919457723657728
"AMBRA1",119.033276700343,0.306057153052514,0.122921250006729,2.48986365690034,0.0127792108417506,0.162023827829713
"MADD",136.086820942436,0.172239882786436,0.154225726339756,1.11680383600201,0.264078208336076,0.595488576939682
"PTPMT1",21.6420191625658,-0.00426893301400746,0.283071966623729,-0.0150807339381716,0.987967771305579,0.996922821848732
"NAA40",160.960657452113,0.155109580851266,0.143850603498218,1.07826854444297,0.280913930418305,0.60889229859554
"CARS1",274.61983478798,-0.142556687627154,0.136080706840372,-1.04758926476167,0.294827885607878,0.621590602501384
"SLC22A18",118.628857514123,-0.194951433748749,0.284564621189008,-0.685086687635924,0.493289220206202,0.772396717242256
"CD81",1812.4486942411,0.320001554002164,0.196305129107872,1.63012324464695,0.103075451881976,0.402717164271204
"SLC35F2",209.622097539738,0.159349306707284,0.246488591732886,0.646477411335805,0.517970221402361,0.78715734638654
"SOX6",11.2708143813592,1.32682673493754,0.450778864944396,2.94340937013808,0.00324618853847209,0.0845058168389703
"C11orf58",253.847459649592,-0.157364028299875,0.102701501908358,-1.53224661154705,0.125461590211368,0.43936456020113
"PITPNM1",261.748097941764,-0.328903549103781,0.149437519306844,-2.20094358250444,0.0277400180649434,0.227919385345508
"RPS13",765.650936537014,-0.440471157543543,0.191499892158806,-2.30011177853965,0.0214418881475125,0.205678838302251
"AIP",37.2493665191848,-0.113079952967589,0.277681039797004,-0.407229651150307,0.683839325838322,0.881538786727297
"NUP98",301.454499146857,-0.0525083982487596,0.162587469070397,-0.322954767356792,0.746729498363387,0.912861978492086
"NDUFS8",195.142248968751,-0.237773329351584,0.19817973702938,-1.19978627944357,0.230222354190821,0.565303047008295
"TCIRG1",864.045715858727,-0.199233330153111,0.148362054951737,-1.34288602444825,0.179308882448063,0.509460284773933
"CHKA",81.6788366025589,0.610026444392832,0.472403651842027,1.29132457383464,0.196591152935952,0.529192791860695
"EXPH5",73.785584786911,0.8816414382687,0.325000872493848,2.71273560438023,0.00667303255170959,0.118112561278472
"HPS5",110.37709444681,-0.0407905480236612,0.170158722362292,-0.239720582391376,0.81054687768016,0.936688192765164
"GTF2H1",94.0772430743554,-0.150409124934156,0.148251954924595,-1.01455070194966,0.310320049024484,0.635516100566877
"VWF",5.88741225043807,1.16556824455124,0.710958416363535,1.63943237427722,0.101123243876367,0.399388687164433
"PSMD9",26.5440619741314,0.191165777174065,0.272309468398451,0.702016636800692,0.482668788251615,0.765534241954063
"P3H3",93.5242858817523,1.51972932982222,0.642948368582946,2.36368797882121,0.0180940446166766,0.191667140405599
"PPFIBP1",338.269322125625,0.012061128046348,0.192978076239832,0.0624999910941102,0.950164669033512,0.984186830724235
"PRPF40B",148.285271157677,-0.0451624852293456,0.170370370388425,-0.265084152405024,0.790944635313203,0.928612268828234
"PRDM4",134.068511707302,-0.11717225605525,0.149706399977835,-0.782680340136414,0.43381484993685,0.732557570612861
"CLEC2B",17.8346320410546,1.43360140473354,0.404286394663591,3.54600457412485,0.000391119418085304,0.0276887087886832
"COQ5",42.0163883022395,0.148442358550331,0.277519462303249,0.534889904002936,0.592725990016026,0.831833246006913
"SELPLG",11.8658968186132,1.42275091282744,0.478966114312855,2.97046256574659,0.00297351642663796,0.0810091782785623
"CORO1C",403.439474861083,0.0141603579586466,0.246839426539513,0.0573666782376026,0.954253106186289,0.985385547616581
"ASIC1",21.0801257336168,-0.337577997498872,0.375019433062462,-0.900161345619243,0.368034393548913,0.683501276064851
"CAPRIN2",350.45629052163,-1.0050993129015,0.319151383565627,-3.14928703009938,0.00163669354720153,0.0588221646767205
"KCTD10",289.968714728783,-0.267738354767127,0.163077202355646,-1.6417889864411,0.100633742301418,0.398208464623416
"SLC11A2",301.59467993225,0.436700704366431,0.145272784210465,3.00607375799832,0.00264644795455398,0.0750457543173479
"MLEC",690.995237173275,0.314832260796507,0.281892853682144,1.11685080584379,0.26405812153882,0.595488576939682
"MVK",113.869926702853,-0.0133137367995306,0.303345577223847,-0.0438896684150633,0.964992350776767,0.989118965430517
"CSRNP2",150.953333618568,-0.0223167478046264,0.226606498274581,-0.0984823823436212,0.92154926080227,0.975213949110615
"CAMKK2",156.877478625858,-0.186972577981339,0.11605174441371,-1.61111389515013,0.107154900338037,0.410310976042711
"IL23A",14.4742993842435,-1.87423900284292,0.794830404670006,-2.35803637081682,0.0183718928430218,0.192795775480941
"ATP5F1B",1190.30163935331,-0.160079131925786,0.167851276956511,-0.953696241269948,0.340237423342252,0.660645354201001
"PTGES3",355.324407285854,-0.174712267287761,0.263402454397908,-0.663290202390568,0.507144710281899,0.780648058587474
"BCL7A",69.117913052173,0.0921038087398174,0.190735845436269,0.482886730227079,0.629176164339543,0.852000458593935
"RSRC2",247.823049971557,-0.031209971363653,0.136139112678388,-0.229250586033881,0.818674157347863,0.939362695154439
"CYP27B1",40.2778868765303,-1.44564055611012,0.447564826296346,-3.23001377939588,0.00123784252051607,0.0505585634017602
"KRT18",893.956562619688,-0.669043132536316,0.302357870923338,-2.21275249257841,0.0269147142157233,0.224995837457814
"ACSS3",6.40407418436202,1.02701658958512,0.742538790901938,1.38311506707635,0.166629586471925,0.496552541362364
"TNS2",176.900830136045,0.113955609026031,0.40621915888471,0.280527411210493,0.779072898265275,0.923721478002062
"PPM1H",51.4479469938806,-0.0500957646388017,0.583121885895664,-0.0859095942898036,0.931538284570518,0.978228379131804
"METAP2",164.168558015442,-0.264372886186976,0.17440824552516,-1.51582790934525,0.129562872923673,0.444281620140544
"LTA4H",410.710162506166,-0.322166800201997,0.177951437892572,-1.81041976405094,0.0702307166532402,0.342596794846034
"ELK3",305.69897844122,-0.347629159882686,0.291647065632623,-1.19195150867927,0.233280259551693,0.568979000606979
"WNT5B",31.5141026499507,2.86359455832057,0.751533369821436,3.81033587237911,0.000138778120638011,0.0148460062960647
"MAGOHB",24.8417262787852,-0.0971738276554964,0.268166119594676,-0.362364297929848,0.717079815301166,0.898799393143714
"TRPV4",65.2234075449822,0.220255433051783,0.53843822559809,0.409063514773912,0.6824930505616,0.880727350606212
"ITFG2",79.8620735021268,-0.316395785948642,0.239481879875668,-1.32116795689471,0.186445367977288,0.519165221183607
"FOXM1",53.8611135556326,1.56473585082127,0.882103274877186,1.77386922301033,0.0760847846135967,0.356761622509013
"PARP11",26.1364630135707,0.151662505029497,0.298861731849523,0.507467128999504,0.611827094781715,0.843637664323601
"ARPC3",409.531558462842,-0.380134573480949,0.137307172124643,-2.76849757808627,0.00563154041975164,0.107844574178884
"GPN3",21.5317834671089,-0.175355179904984,0.353955739874999,-0.495415556665112,0.620306815734832,0.84817897279979
"VPS29",159.277041103666,-0.0175444069618736,0.192458223866252,-0.0911595597705716,0.927365807739485,0.977144936783628
"RAD51AP1",11.8361531659142,0.674464886022101,0.867466068707227,0.777511548119971,0.436857023899911,0.734049902681201
"CUX2",72.9794068243837,0.336051073258641,0.248467099565763,1.35249726762998,0.176216292283563,0.506061460364388
"SH2B3",76.3554630688224,-0.0147999755501911,0.342016147347568,-0.0432727392112013,0.965484121818409,0.989400844189453
"MANSC1",72.6647468294033,-0.0299891913742447,0.421421931850935,-0.0711619142424046,0.943268892569868,0.982226913016946
"DUSP16",67.9333001592003,-0.206198740112807,0.360019495212891,-0.572743262113833,0.566818540588185,0.818192470840296
"CREBL2",46.4620670575345,0.0162217099764809,0.264930895178691,0.0612299670279665,0.951176064262684,0.98452445181191
"ACAD10",118.223195822814,0.206297905219123,0.173293846000933,1.19045142098129,0.233869012746908,0.56949476630647
"ALDH2",193.983725035137,0.262806933015182,0.412297748120182,0.637420248384612,0.523851142616995,0.791657616718822
"CDKN1B",73.6542687885092,0.736715571834173,0.30835684788336,2.38916559463873,0.0168866890890059,0.186175067387889
